	year	 month	carrier	carrier_name	airport	airport_name	arr_flights	arr_del15	carrier_ct	 weather_ct	nas_ct	security_ct	late_aircraft_ct	arr_cancelled	arr_diverted	 arr_delay	 carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	Unnamed: 21
87	2004	1	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	8691.0	3346.0	264.81	112.07	2336.58	1.01	631.53	793.0	10.0	235984.0	21812.0	8264.0	150749.0	31.0	55128.0	
88	2004	1	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	31.0	6.0	4.06	0.0	1.94	0.0	0.0	0.0	0.0	338.0	286.0	0.0	52.0	0.0	0.0	
89	2004	1	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	385.0	161.0	10.3	0.7	138.62	0.0	11.37	22.0	0.0	11442.0	462.0	74.0	10095.0	0.0	811.0	
90	2004	1	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	3991.0	1805.0	231.46	24.97	1367.97	4.24	176.36	445.0	14.0	151214.0	19780.0	2657.0	111952.0	174.0	16651.0	
91	2004	1	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	545.0	253.0	26.69	2.8	198.22	0.0	25.29	45.0	0.0	13209.0	1718.0	226.0	9619.0	0.0	1646.0	
92	2004	1	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	141.0	35.0	3.2	2.85	28.1	0.0	0.86	19.0	0.0	2163.0	90.0	100.0	1930.0	0.0	43.0	
93	2004	1	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	243.0	114.0	9.63	0.0	95.32	0.47	8.58	16.0	0.0	6553.0	533.0	0.0	5399.0	7.0	614.0	
94	2004	1	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	6753.0	2978.0	158.56	40.71	1588.22	1.62	1188.89	746.0	18.0	194344.0	14387.0	4473.0	93492.0	65.0	81927.0	
95	2004	1	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	642.0	228.0	33.24	49.54	134.55	0.0	10.66	60.0	0.0	11910.0	2062.0	3056.0	6060.0	0.0	732.0	
96	2004	1	OH	Comair Inc.	ORD	Chicago, IL: Chicago O'Hare International	170.0	73.0	13.64	32.83	24.86	0.0	1.67	18.0	0.0	4227.0	596.0	2585.0	1017.0	0.0	29.0	
97	2004	1	OO	SkyWest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	436.0	200.0	77.0	4.0	103.0	2.0	14.0	40.0	0.0	15929.0	3414.0	339.0	10797.0	30.0	1349.0	
98	2004	1	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	150.0	69.0	3.79	0.18	57.91	0.0	7.13	12.0	0.0	4769.0	147.0	13.0	4037.0	0.0	572.0	
99	2004	1	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	10042.0	3585.0	380.46	44.55	2769.9	0.0	390.09	391.0	9.0	251650.0	25073.0	3071.0	188994.0	0.0	34512.0	
100	2004	1	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	495.0	219.0	30.86	1.43	152.54	0.0	34.18	45.0	1.0	11905.0	1290.0	157.0	8286.0	0.0	2172.0	
101	2004	2	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	8112.0	2344.0	206.15	65.41	1586.58	2.38	483.48	332.0	6.0	122319.0	15350.0	4493.0	75431.0	98.0	26947.0	
102	2004	2	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	29.0	9.0	3.55	0.48	4.98	0.0	0.0	0.0	0.0	372.0	236.0	10.0	126.0	0.0	0.0	
103	2004	2	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	374.0	124.0	10.96	0.1	103.92	1.34	7.68	4.0	0.0	6571.0	578.0	3.0	5436.0	51.0	503.0	
104	2004	2	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	3926.0	1723.0	66.89	2.27	1126.22	1.09	526.54	158.0	3.0	93983.0	4389.0	68.0	56980.0	65.0	32481.0	
105	2004	2	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	492.0	212.0	43.3	1.66	122.73	0.0	44.31	28.0	1.0	9689.0	2578.0	97.0	4671.0	0.0	2343.0	
106	2004	2	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	136.0	24.0	5.77	1.0	14.71	0.0	2.53	11.0	0.0	1031.0	240.0	177.0	517.0	0.0	97.0	
107	2004	2	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	228.0	121.0	18.66	0.0	84.71	0.0	17.63	4.0	0.0	6102.0	1126.0	0.0	3878.0	0.0	1098.0	
108	2004	2	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	6400.0	2116.0	104.4	16.76	1149.92	1.59	843.33	247.0	2.0	99183.0	9838.0	1440.0	47767.0	71.0	40067.0	
109	2004	2	NW	Northwest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	612.0	184.0	34.53	35.07	104.88	0.0	9.52	31.0	2.0	7936.0	1615.0	2234.0	3720.0	0.0	367.0	
110	2004	2	OH	Comair Inc.	ORD	Chicago, IL: Chicago O'Hare International	186.0	60.0	13.73	16.26	28.06	0.0	1.95	8.0	0.0	2842.0	727.0	925.0	1143.0	0.0	47.0	
111	2004	2	OO	SkyWest Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	408.0	156.0	52.0	6.0	90.0	0.0	8.0	15.0	0.0	9477.0	2445.0	335.0	6436.0	0.0	261.0	
112	2004	2	RU	ExpressJet Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	153.0	42.0	4.09	0.0	36.09	0.0	1.82	4.0	0.0	2227.0	205.0	0.0	1962.0	0.0	60.0	
113	2004	2	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	9449.0	2022.0	226.56	17.74	1541.63	0.0	236.08	123.0	5.0	102377.0	14907.0	879.0	72177.0	0.0	14414.0	
114	2004	2	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	465.0	123.0	15.41	1.18	85.24	0.0	21.16	19.0	0.0	5833.0	616.0	60.0	3927.0	0.0	1230.0	
115	2004	3	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	8594.0	2986.0	194.2	47.7	2247.39	4.62	492.09	312.0	12.0	212091.0	22415.0	3396.0	146826.0	209.0	39245.0	
116	2004	3	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	31.0	5.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	495.0	319.0	0.0	176.0	0.0	0.0	
